id (0),miles remaining (1),idle hours remaining (2),current (retrofit 0),current (retrofit 1),current (retrofit 2),current (retrofit 3),current (retrofit 4),retrofit 0->0,retrofit 0->1,retrofit 0->2,retrofit 0->3,retrofit 0->4,retrofit 1->0,retrofit 1->1,retrofit 1->2,retrofit 1->3,retrofit 1->4,retrofit 2->0,retrofit 2->1,retrofit 2->2,retrofit 2->3,retrofit 2->4,retrofit 3->0,retrofit 3->1,retrofit 3->2,retrofit 3->3,retrofit 3->4,retrofit 4->0,retrofit 4->1,retrofit 4->2,retrofit 4->3,retrofit 4->4,retrofit 0->0,retrofit 0->1,retrofit 0->2,retrofit 0->3,retrofit 0->4,retrofit 1->0,retrofit 1->1,retrofit 1->2,retrofit 1->3,retrofit 1->4,retrofit 2->0,retrofit 2->1,retrofit 2->2,retrofit 2->3,retrofit 2->4,retrofit 3->0,retrofit 3->1,retrofit 3->2,retrofit 3->3,retrofit 3->4,retrofit 4->0,retrofit 4->1,retrofit 4->2,retrofit 4->3,retrofit 4->4,retrofit 0->0,retrofit 0->1,retrofit 0->2,retrofit 0->3,retrofit 0->4,retrofit 1->0,retrofit 1->1,retrofit 1->2,retrofit 1->3,retrofit 1->4,retrofit 2->0,retrofit 2->1,retrofit 2->2,retrofit 2->3,retrofit 2->4,retrofit 3->0,retrofit 3->1,retrofit 3->2,retrofit 3->3,retrofit 3->4,retrofit 4->0,retrofit 4->1,retrofit 4->2,retrofit 4->3,retrofit 4->4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
11,110931.8944,530.1604775,2,2,0,0,0,0,1000,8000,16000,12591.26,40,0,8000,16000,12591.26,60,1000,0,16000,12591.26,80,1000,8000,0,12591.26,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,2,2,1,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1403,2.054,11.746,0.669,0.11224,1.2324,11.746,0.3345,0.01403,0.3081,11.746,0.03345,0.01403,0.3081,11.746,0.03345,0.0221,0.355,3.632,0.285,0.9237,22.775,48.1825,5.175,0.73896,13.665,48.1825,2.5875,0.09237,3.41625,48.1825,0.25875,0.09237,3.41625,48.1825,0.25875,0.9237,2.5175,14.9,2.2075
12,105937.7542,506.2927178,2,2,1,1,0,0,1000,8000,16000,10350.67,40,0,8000,16000,10350.67,60,1000,0,16000,10350.67,80,1000,8000,0,10350.67,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.1403,2.074,14.655,0.671,0.11224,1.2444,14.655,0.3355,0.01403,0.3111,14.655,0.03355,0.01403,0.3111,14.655,0.03355,0.0221,0.355,3.632,0.285,0.9237,22.9925,60.1175,5.1925,0.73896,13.7955,60.1175,2.59625,0.09237,3.448875,60.1175,0.259625,0.09237,3.448875,60.1175,0.259625,0.9237,2.5175,14.9,2.2075
13,101082.3385,483.0879444,2,2,0,0,0,0,1000,8000,16000,8479.456,40,0,8000,16000,8479.456,60,1000,0,16000,8479.456,80,1000,8000,0,8479.456,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,2,2,1,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1402,1.993,13.87,0.655,0.11216,1.1958,13.87,0.3275,0.01402,0.29895,13.87,0.03275,0.01402,0.29895,13.87,0.03275,0.0221,0.355,3.632,0.285,0.9237,22.1,56.895,5.07,0.73896,13.26,56.895,2.535,0.09237,3.315,56.895,0.2535,0.09237,3.315,56.895,0.2535,0.9237,2.5175,14.9,2.2075
14,96382.23107,460.6254126,2,2,1,1,0,0,1000,8000,16000,6916.72,40,0,8000,16000,6916.72,60,1000,0,16000,6916.72,80,1000,8000,0,6916.72,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2258,2.068,14.384,0.663,0.18064,1.2408,14.384,0.3315,0.02258,0.3102,14.384,0.03315,0.02258,0.3102,14.384,0.03315,0.0221,0.355,3.632,0.285,0.9237,22.925,59.0025,5.1275,0.73896,13.755,59.0025,2.56375,0.09237,3.43875,59.0025,0.256375,0.09237,3.43875,59.0025,0.256375,0.9237,2.5175,14.9,2.2075
15,91859.50473,439.0106122,2,2,0,0,0,0,1000,8000,16000,5611.608,40,0,8000,16000,5611.608,60,1000,0,16000,5611.608,80,1000,8000,0,5611.608,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,2,2,1,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2252,2.052,14.117,0.653,0.18016,1.2312,14.117,0.3265,0.02252,0.3078,14.117,0.03265,0.02252,0.3078,14.117,0.03265,0.0221,0.355,3.632,0.285,0.9237,22.7525,57.91,5.05,0.73896,13.6515,57.91,2.525,0.09237,3.412875,57.91,0.2525,0.09237,3.412875,57.91,0.2525,0.9237,2.5175,14.9,2.2075
16,87411.78647,417.7542869,2,2,0,0,0,0,1000,8000,16000,4521.651,40,0,8000,16000,4521.651,60,1000,0,16000,4521.651,80,1000,8000,0,4521.651,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,2,2,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9513,2.921,13.968,0.823,0.76104,1.7526,13.968,0.4115,0.09513,0.43815,13.968,0.04115,0.09513,0.43815,13.968,0.04115,0.0221,0.355,3.632,0.285,1.7112,32.39,57.3,6.3675,1.36896,19.434,57.3,3.18375,0.17112,4.8585,57.3,0.318375,0.17112,4.8585,57.3,0.318375,0.9237,2.5175,14.9,2.2075
17,83039.36479,396.8578154,2,2,0,0,0,0,1000,8000,16000,3611.379,40,0,8000,16000,3611.379,60,1000,0,16000,3611.379,80,1000,8000,0,3611.379,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,2,2,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9384,2.893,13.722,0.81,1.55072,1.7358,13.722,0.405,0.19384,0.43395,13.722,0.0405,0.19384,0.43395,13.722,0.0405,0.0221,0.355,3.632,0.285,1.7112,32.08,56.2875,6.25,1.36896,19.248,56.2875,3.125,0.17112,4.812,56.2875,0.3125,0.17112,4.812,56.2875,0.3125,0.9237,2.5175,14.9,2.2075
18,78624.21898,375.7571588,1,1,0,0,0,0,1000,8000,16000,2851.17,40,0,8000,16000,2851.17,60,1000,0,16000,2851.17,80,1000,8000,0,2851.17,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9259,2.843,13.436,0.795,1.54072,1.7058,13.436,0.3975,0.19259,0.42645,13.436,0.03975,0.19259,0.42645,13.436,0.03975,0.0221,0.355,3.632,0.285,1.7112,31.525,55.1175,6.15,1.36896,18.915,55.1175,3.075,0.17112,4.72875,55.1175,0.3075,0.17112,4.72875,55.1175,0.3075,0.9237,2.5175,14.9,2.2075
19,74281.80965,355.004121,1,1,0,0,0,0,1000,8000,16000,2216.285,40,0,8000,16000,2216.285,60,1000,0,16000,2216.285,80,1000,8000,0,2216.285,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5827,3.838,14.267,1.021,1.26616,2.3028,14.267,0.5105,0.15827,0.5757,14.267,0.05105,0.15827,0.5757,14.267,0.05105,0.0221,0.355,3.632,0.285,2.9201,42.5575,58.525,7.8975,2.33608,25.5345,58.525,3.94875,0.29201,6.383625,58.525,0.394875,0.29201,6.383625,58.525,0.394875,0.9237,2.5175,14.9,2.2075
20,69772.1856,333.4519384,1,1,0,0,0,0,1000,8000,16000,1686.064,40,0,8000,16000,1686.064,60,1000,0,16000,1686.064,80,1000,8000,0,1686.064,0,1000,8000,16000,0,0,1000,8000,16000,81345.75857,40,0,8000,16000,81345.75857,60,1000,0,16000,81345.75857,80,1000,8000,0,81345.75857,0,1000,8000,16000,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0375,4.022,18.912,1.309,1.63,2.4132,18.912,0.6545,0.20375,0.6033,18.912,0.06545,0.20375,0.6033,18.912,0.06545,0.0221,0.355,3.632,0.285,2.9201,44.59,77.5775,10.1275,2.33608,26.754,77.5775,5.06375,0.29201,6.6885,77.5775,0.506375,0.29201,6.6885,77.5775,0.506375,0.9237,2.5175,14.9,2.2075
